screen_id,survivors_top10,top10_boundary_tied,r2_size_alone,n_hits,n_measured,n_sets_used,source_id,cell_line,phenotype,library
1443,8,False,0.2661,594,18457,50,32416067,SUM159R,cell proliferation,"Liu Human CRISPR Knockout Library (CRISPRn H1 H2, H1/H2)"
1444,9,False,0.1012,444,18457,50,32416067,SUM149PT,cell proliferation,"Liu Human CRISPR Knockout Library (CRISPRn H1 H2, H1/H2)"
1445,7,True,0.308,214,18457,50,32416067,SUM149PT,response to chemicals,"Liu Human CRISPR Knockout Library (CRISPRn H1 H2, H1/H2)"
1446,7,True,0.0922,248,18457,50,32416067,SUM159PT,response to chemicals,"Liu Human CRISPR Knockout Library (CRISPRn H1 H2, H1/H2)"
1447,7,True,0.236,111,18457,50,32416067,SUM149R,response to chemicals,"Liu Human CRISPR Knockout Library (CRISPRn H1 H2, H1/H2)"
1448,8,False,0.1824,123,18457,50,32416067,SUM159R,response to chemicals,"Liu Human CRISPR Knockout Library (CRISPRn H1 H2, H1/H2)"
1449,4,True,0.6811,1011,20806,50,31040274,HAP-1,response to toxin,GECKO v2
1451,8,True,0.0639,44,18822,50,32585766,OCI-Ly7,response to chemicals,GECKO v2
1452,8,True,0.0952,47,18822,50,32585766,OCI-Ly7,response to chemicals,GECKO v2
1454,5,True,0.6825,968,13990,50,33110234,HEK-293,response to chemicals,GECKO v2
1455,5,False,0.7537,961,19107,50,33257658,HeLa,response to chemicals,Brunello (human)
1456,9,False,0.1439,214,19107,50,33257658,HeLa,response to chemicals,Brunello (human)
1458,8,False,0.1958,1938,18343,50,33228647,HAP-1,cell proliferation,Heidelberg (HD) CRISPR library
1459,9,False,0.208,1925,18343,50,33228647,HAP-1,cell proliferation,Heidelberg (HD) CRISPR library
1479,6,True,0.2027,154,19639,50,33172989,HT-29,response to bacteria,Avana
1480,8,True,0.0844,147,19639,50,33172989,HT-29,response to bacteria,Avana
149,10,False,0.2838,1874,18142,50,26472758,KBM-7,cell proliferation,Human Activity-optimized genome-wide library
150,9,False,0.3383,1656,18142,50,26472758,K-562,cell proliferation,Human Activity-optimized genome-wide library
151,9,False,0.2312,1629,18142,50,26472758,Jiyoye,cell proliferation,Human Activity-optimized genome-wide library
152,9,False,0.2454,1463,18142,50,26472758,Raji,cell proliferation,Human Activity-optimized genome-wide library
1524,9,True,0.1174,124,19099,50,32699298,HEK293SF,response to virus,Brunello (human)
153,8,False,0.269,2236,18881,50,29038160,NALM-6,cell proliferation,Extended Knockout Library (EKO)
154,9,False,0.2181,2151,17998,50,27760321,HT-29,cell proliferation,Human Improved Genome-wide Knockout CRISPR Library
155,8,True,0.2659,1278,17998,50,27760321,HL-60,cell proliferation,Human Improved Genome-wide Knockout CRISPR Library
156,9,True,0.2521,1730,17998,50,27760321,HT-1080,cell proliferation,Human Improved Genome-wide Knockout CRISPR Library
1561,8,True,0.0168,206,20807,50,33730579,Huh-7.5.1,response to virus,GECKO v2
1568,5,True,0.0072,34,17228,50,33476303,OCI-AML-2,response to chemicals,TKO (Toronto Knockout) v1
157,8,False,0.247,2370,20420,50,28474669,Ramos,cell proliferation,Bassik Human CRISPR Knockout Library
1571,3,False,0.8203,3855,17980,50,31519875,HEK293T,protein/peptide accumulation,"CRISPRn (Cong, 2019)"
1573,5,True,0.6169,917,20575,50,31692446,H4,protein/peptide accumulation,GECKO v2
158,8,True,0.2791,2441,20420,50,28474669,K-562,cell proliferation,Bassik Human CRISPR Knockout Library
1581,4,True,0.5016,384,19109,50,33686287,HuH-7,response to virus,Brunello (human)
1584,5,True,0.5017,378,18221,50,33686287,HuH-7,response to virus,Brunello (human)
159,8,False,0.2584,2259,20420,50,28474669,U-937,cell proliferation,Bassik Human CRISPR Knockout Library
1591,9,True,0.1279,216,19107,50,33226137,K-562,protein/peptide accumulation,Brunello (human)
1592,8,True,0.0683,200,19107,50,33226137,K-562,protein/peptide accumulation,Brunello (human)
1593,9,True,0.0988,197,19107,50,33226137,K-562,protein/peptide accumulation,Brunello (human)
16,9,False,0.2618,2073,17620,50,26627737,HCT 116,cell proliferation,TKO (Toronto Knockout) v1
1621,8,True,0.0186,20,19847,50,31508509,A2780,response to chemicals,GECKO v2
1622,8,True,0.003,34,19106,50,33574281,A549-ACE2,response to virus,Brunello (human)
1623,7,False,0.3522,456,19106,50,33137164,HeLa,response to chemicals,Brunello (human)
1624,8,True,0.2018,393,19106,50,33137164,HeLa,response to chemicals,Brunello (human)
1625,7,True,0.128,235,18878,50,33137164,HeLa,response to chemicals,Human CRISPR Activation Pooled Library (Calabrese)
1626,6,True,0.3426,208,18878,50,33137164,MCF-10A,response to chemicals,Human CRISPR Activation Pooled Library (Calabrese)
1627,7,True,0.2289,241,18878,50,33137164,HeLa,response to chemicals,Human CRISPR Activation Pooled Library (Calabrese)
