gene,log2FC,t,p,q
KIT,1.3409243709131282,5.913195715737147,1.490685822345527e-07,8.953387142537513e-06
KRTCAP3,0.7251483961497716,5.980884853485993,1.5184800239239167e-07,9.065144246216143e-06
GRAMD1A,0.8503049767264423,6.110056205879743,1.5237357093536256e-07,9.065144246216143e-06
CFL1,0.6646994545850298,6.288211454460128,1.5450212827967678e-07,9.148420831579163e-06
C4orf3,0.4872037298444276,6.084552091660588,1.5591526903348602e-07,9.188752921020423e-06
SYT7,1.275132780987036,5.902264818788293,1.6248159734987152e-07,9.530988278191296e-06
CCND2,1.642154865324613,6.189113271157932,1.6452457067654372e-07,9.605939235826294e-06
BMP7,1.0816177597530885,5.883162615112344,1.6793405664742385e-07,9.759612097662555e-06
CSNK1A1,0.649505320500996,6.027289617717046,1.699381616036298e-07,9.826123974003722e-06
SLC35F2,1.2943784976202537,6.039016675877401,1.7064407124454804e-07,9.826123974003722e-06
MUC4,1.0098681647322039,5.914306988463019,1.738430343151362e-07,9.964619222638836e-06
RRM2B,1.1385203030810804,6.227168112281798,1.7697776071064133e-07,1.009819013727582e-05
VIM-AS1,1.2748349762684126,6.060021632638079,1.780728745525009e-07,1.0114700426504723e-05
CCDC107,0.6259037649994781,5.861710560912928,1.8329091662064874e-07,1.0321874634643387e-05
TRIM47,1.33773758447031,6.125082742429508,1.8336477682828608e-07,1.0321874634643387e-05
SULF2,1.3366458355064412,5.924876550941911,1.8737343171981913e-07,1.0500440573120042e-05
ADAM8,1.310509972670321,5.916784249922836,1.89754898684426e-07,1.0567645593237751e-05
RAMP2,-1.1858318691922538,-5.871461396994794,1.9025634542115287e-07,1.0567645593237751e-05
ATP1B1,0.9491223468964431,6.199697235822393,1.925399608981701e-07,1.0647375018302772e-05
SLC6A1,1.575040511525348,5.841908660442668,1.9703492927936933e-07,1.0841689377241803e-05
FERMT1,1.4555819270689114,6.298044289288691,1.9812233440150487e-07,1.0841689377241803e-05
ZNF827,0.8689235865760185,5.877146475722824,1.9864483046009835e-07,1.0841689377241803e-05
TRPV1,1.0621629196854483,5.839714946822806,1.9953676972333673e-07,1.0843225412714484e-05
TM7SF3,1.0221805245889213,6.011454456808075,2.052228579678874e-07,1.1104148862374527e-05
SH3BP5,1.6617068246406497,6.2209060547012545,2.0813978777084295e-07,1.1155387133654241e-05
MVP,0.8560678856692334,5.999183662055421,2.0844409322262107e-07,1.1155387133654241e-05
PHLDA3,1.1207976424019757,5.8987516530745,2.0883581426023636e-07,1.1155387133654241e-05
ANXA2,0.8765561441750354,6.072992444632856,2.165385729309329e-07,1.1517833500008477e-05
ZMIZ2,0.9054089996157999,5.890297172234478,2.192032467086617e-07,1.1610372809847386e-05
FAM210B,0.768624414211553,6.077191650988849,2.257238784712343e-07,1.1905511959871447e-05
ST14,0.864998183553384,5.964501980901251,2.337718291823565e-07,1.2278400718519334e-05
CST3,0.36546460466395203,5.795861951853325,2.3555939038137085e-07,1.2320737614405618e-05
RFK,0.8218712889490769,6.011652307865056,2.4134774784904217e-07,1.2542505088202828e-05
INHBB,1.4529857682489333,6.224760910408423,2.4179767635984103e-07,1.2542505088202828e-05
RANBP1,0.500243933440113,6.0375774518501855,2.4442028520727795e-07,1.2626369712785845e-05
PCSK1N,1.791338328961821,6.167692343975522,2.454730427445925e-07,1.262878321956094e-05
NTMT1,0.6959316181852033,6.082738055146364,2.5311339278470614e-07,1.2948539568747277e-05
LGALS3BP,0.8652977293527382,6.03553181064698,2.537513529763268e-07,1.2948539568747277e-05
NAV2,1.0572858909295437,5.9697196626295375,2.5894743628249935e-07,1.3160190962162811e-05
AQP1,2.139643130603245,5.828733375836745,2.6785888299310943e-07,1.3558195799243961e-05
TRPC6,1.8326843433542703,5.79562372890709,2.7316738749353137e-07,1.3771366326129716e-05
TMC6,0.8230898272362985,6.031138476164261,2.7502303526425187e-07,1.377202562350339e-05
TMEM163,1.8457165047117094,5.894924113363713,2.7537468585193585e-07,1.377202562350339e-05
MFHAS1,1.1975194278440693,5.900278128777471,2.7939881022002237e-07,1.3890646395504321e-05
AREG,2.098118705430015,5.809664930232314,2.799596541115744e-07,1.3890646395504321e-05
UBXN6,0.7815348563961901,6.021556200324097,2.9203100616429464e-07,1.4432540237718073e-05
TMEM127,0.8598769151989818,5.8168649888902415,2.9427950449986687e-07,1.448662988230129e-05
CMTM7,0.7600132983012866,5.9500457239660625,2.976141715234253e-07,1.459355740286546e-05
ANPEP,1.179428874444941,6.028699388737334,3.00417987053219e-07,1.4665013514972874e-05
ELK3,1.1289609485317338,5.837534667848479,3.018760644435858e-07,1.4665013514972874e-05
GABARAPL2,0.45718432175317236,5.899465116549519,3.025761571240321e-07,1.4665013514972874e-05
CACHD1,1.103193132798158,5.90452033999946,3.1318944407552485e-07,1.512102727492332e-05
TMEM98,0.8241374075022216,5.995343755298197,3.166232325680122e-07,1.5228243059104435e-05
NBDY,0.6179197490631596,5.946398431099365,3.3060391221968743e-07,1.581191111284492e-05
ARPC5L,0.6151598925100803,5.974856437237227,3.3127799113185805e-07,1.581191111284492e-05
PODNL1,1.1849402301326806,5.706383838549181,3.3463624425090256e-07,1.5911699901824167e-05
MMP14,0.9622419221108789,5.833139511463095,3.508737107395145e-07,1.662082147514387e-05
SELENOT,0.6007795267575506,5.757572878008388,3.5325501090803534e-07,1.6670714856874312e-05
TCTN1,0.7294807096098976,5.860186653496671,3.657620292905161e-07,1.7196294957617412e-05
ARRDC3,1.2765639076053432,5.7983010986478485,3.7488063907661256e-07,1.7546284293560293e-05
QPCT,1.1772640022607097,5.741380120532665,3.7600179040609567e-07,1.7546284293560293e-05
PHLDB2,1.4239912018236287,5.771978288996306,3.8740049320731987e-07,1.8011253300857358e-05
MPZL2,0.8218564296451758,5.746090533456043,3.979872338667858e-07,1.8435179877231595e-05
GFUS,0.6818898382550538,5.812471853867272,4.04527738572218e-07,1.866925258197446e-05
GATAD2A,0.8070986795269812,5.887146093338757,4.077048360982446e-07,1.8671857273271354e-05
THADA,1.1007778799298436,5.698855579901828,4.0796680963381176e-07,1.8671857273271354e-05
PFKP,1.0576696685937539,6.0000362366331705,4.090465028399285e-07,1.8671857273271354e-05
UGT1A6,1.7269836264808598,5.680032427080619,4.1428330386503885e-07,1.8783678555447402e-05
NHSL1,1.360306658354907,6.018714162769945,4.144888839208898e-07,1.8783678555447402e-05
HP,3.6091678335866186,5.9585573518319155,4.262426185239214e-07,1.924684744723304e-05
EML3,0.7426753446359129,5.969466312242801,4.322082881884575e-07,1.937811539523181e-05
ACSL5,1.0526913557273634,5.744419091419651,4.3223709955109586e-07,1.937811539523181e-05
HYCC1,1.4300838012020276,5.702691554983077,4.3820624325562023e-07,1.9508897870862993e-05
DPYSL3,1.5423179924186736,5.913066077731904,4.392685650601234e-07,1.9508897870862993e-05
