perturbation,target,u_z,cosine,delta,rank_u_z,rank_cosine,rank_delta,avg_rank
10660_ZNF823_P1P2_ENSG00000197933,ZNF823,-0.5730579322357825,-0.013414576835295832,-0.00603789145349095,8142.0,8049.0,8376.0,8189.0
9301_TRMT10B_P1P2_ENSG00000165275,TRMT10B,-0.8130200428300265,-0.0092878029442895,-0.007123262996329732,8778.0,7106.0,8686.0,8190.0
9204_TPM1_P2_ENSG00000140416,TPM1,-0.7368634533857401,-0.013041658334452953,-0.0048181101106513895,8563.0,7969.0,8042.0,8191.333333333333
8827_TEX15_ENST00000256246.2_ENSG00000133863,TEX15,-0.7492359980683433,-0.009957673616692095,-0.007226779171637526,8592.0,7272.0,8711.0,8191.666666666667
2708_ERI1_P1P2_ENSG00000104626,ERI1,-0.5531921562665323,-0.017448469942027964,-0.003497152731418339,8079.0,8880.0,7617.0,8192.0
1217_CBFA2T2_P1P2_ENSG00000078699,CBFA2T2,-0.6564854782469977,-0.012019637068206555,-0.00633528730951111,8380.0,7736.0,8471.0,8195.666666666666
9795_WBP4_P1P2_ENSG00000120688,WBP4,-0.45865545921988127,-0.014327780362061405,-0.0066459569427508615,7805.0,8227.0,8557.0,8196.333333333334
10831_non-targeting_non-targeting_non-targeting,,-0.6689887188241354,-0.01103113228582012,-0.007031729700383825,8406.0,7520.0,8666.0,8197.333333333334
7446_RPL22L1_P1P2_ENSG00000163584,RPL22L1,-0.10097773343462757,-0.024571160475253737,-0.00425943337820666,6743.0,9989.0,7865.0,8199.0
8175_SMIM15_P1P2_ENSG00000188725,SMIM15,-0.7664442908487245,-0.010139337636364166,-0.006937190417375118,8640.0,7312.0,8645.0,8199.0
8960_TM9SF2_P1P2_ENSG00000125304,TM9SF2,-0.8620265550516518,-0.009043969931385525,-0.007009841084113206,8893.0,7045.0,8661.0,8199.666666666666
10956_non-targeting_non-targeting_non-targeting,,-0.9046769819680903,-0.008149705187088366,-0.007618392974743285,8969.0,6821.0,8810.0,8200.0
