screen_id,r2_size_alone,r2_size_raw,n_hits,n_measured,n_sets_used,source_id,cell_line,phenotype,library
553,0.2711,0.2187,1870,17624,50,27260156,MHH-ES-1,cell proliferation,GECKO v2
554,0.2757,0.2179,1595,17624,50,27260156,NCI-H1373,cell proliferation,GECKO v2
555,0.2573,0.2051,2108,17624,50,27260156,NCI-H2009,cell proliferation,GECKO v2
556,0.2704,0.2264,1766,17624,50,27260156,PANC-1,cell proliferation,GECKO v2
557,0.3332,0.2691,1759,17624,50,27260156,Panc 03.27,cell proliferation,GECKO v2
558,0.3041,0.2493,2145,17624,50,27260156,Panc 08.13,cell proliferation,GECKO v2
559,0.2476,0.1931,1757,17624,50,27260156,PaTu 8902,cell proliferation,GECKO v2
560,0.2452,0.2017,1997,17624,50,27260156,PaTu 8988s,cell proliferation,GECKO v2
561,0.2807,0.2377,1213,17624,50,27260156,PC-3,cell proliferation,GECKO v2
562,0.2565,0.2159,1520,17624,50,27260156,RD-ES,cell proliferation,GECKO v2
563,0.2902,0.236,1584,17624,50,27260156,SK-ES-1,cell proliferation,GECKO v2
564,0.2267,0.1806,1834,17624,50,27260156,SU.86.86,cell proliferation,GECKO v2
565,0.3058,0.2502,1765,17624,50,27260156,T-47D,cell proliferation,GECKO v2
566,0.2943,0.2424,1671,17624,50,27260156,TC-32,cell proliferation,GECKO v2
567,0.2788,0.2227,1542,17624,50,27260156,TC-71,cell proliferation,GECKO v2
568,0.2683,0.2197,1724,17624,50,27260156,TOV-112D,cell proliferation,GECKO v2
569,0.308,0.2404,1732,17624,50,27260156,COLO 741,cell proliferation,GECKO v2
570,0.219,0.1903,1820,18066,50,26673326,GSC-0131,cell proliferation,GECKO
571,0.2306,0.2209,1243,18066,50,26673326,GSC-0827,cell proliferation,GECKO
572,0.1919,0.1658,1673,18066,50,26673326,NSC-CB660,cell proliferation,GECKO
573,0.2629,0.2216,1933,18066,50,26673326,NSC-U5,cell proliferation,GECKO
574,0.2542,0.2224,1359,17998,50,27760321,MOLM-13,cell proliferation,Human Improved Genome-wide Knockout CRISPR Library
575,0.2796,0.2671,941,17998,50,27760321,MV4-11,cell proliferation,Human Improved Genome-wide Knockout CRISPR Library
576,0.2806,0.2669,1666,17998,50,27760321,OCI-AML-2,cell proliferation,Human Improved Genome-wide Knockout CRISPR Library
577,0.3079,0.2689,1475,17998,50,27760321,OCI-AML-3,cell proliferation,Human Improved Genome-wide Knockout CRISPR Library
583,0.5296,0.5272,1718,17974,50,28877469,H4,protein/peptide accumulation,"CRISPRn (Hoffman and Nyfeler, 2016)"
597,0.4852,0.4441,2552,18142,50,29662178,h-pES10,cell proliferation,Human Activity-optimized genome-wide library
6,0.4129,0.3924,142,15965,50,25307932,K-562,cell proliferation,"CRISPRa (Weissman, 2014)"
613,0.1294,0.1461,143,18138,50,29576454,HMEC,cell proliferation,Human Activity-optimized genome-wide library
614,0.2136,0.1918,823,18138,50,29576454,HMEC,cell proliferation,Human Activity-optimized genome-wide library
629,0.1645,0.1588,234,18126,50,28700943,DLD-1,cell proliferation,"CRISPRn (Martin, 2017)"
66,0.3229,0.2859,2428,18619,50,28162770,EoL-1,cell proliferation,Focused Ras Synthetic Lethal Human CRISPR Knockout Library
67,0.3035,0.2647,2714,18619,50,28162770,HEL,cell proliferation,Focused Ras Synthetic Lethal Human CRISPR Knockout Library
68,0.4178,0.3831,3476,18619,50,28162770,MOLM-13,cell proliferation,Focused Ras Synthetic Lethal Human CRISPR Knockout Library
689,0.4508,0.4349,1073,19106,50,30898113,PANC-1,response to chemicals,Brunello (human)
69,0.271,0.2377,1923,18619,50,28162770,Mono-Mac-1,cell proliferation,Focused Ras Synthetic Lethal Human CRISPR Knockout Library
691,0.2472,0.214,922,17986,50,30971826,22Rv1,cell proliferation,Human CRISPR Library v.1.1
692,0.2148,0.1778,1475,17986,50,30971826,23132/87,cell proliferation,Human CRISPR Library v.1.1
693,0.1929,0.15,1169,17986,50,30971826,42-MG-BA,cell proliferation,Human CRISPR Library v.1.1
694,0.1985,0.167,1613,17986,50,30971826,769-P,cell proliferation,Human CRISPR Library v.1.1
695,0.197,0.1659,1944,17986,50,30971826,8-MG-BA,cell proliferation,Human CRISPR Library v.1.1
696,0.1922,0.1576,1336,17986,50,30971826,A172,cell proliferation,Human CRISPR Library v.1.1
697,0.2106,0.1711,1837,17986,50,30971826,A2058,cell proliferation,Human CRISPR Library v.1.1
698,0.1794,0.1348,1237,17986,50,30971826,A253,cell proliferation,Human CRISPR Library v.1.1
699,0.2404,0.1914,1572,17986,50,30971826,A2780,cell proliferation,Human CRISPR Library v.1.1
70,0.2978,0.2761,2505,18619,50,28162770,MV4-11,cell proliferation,Focused Ras Synthetic Lethal Human CRISPR Knockout Library
700,0.2182,0.186,1908,17986,50,30971826,A2780ADR,cell proliferation,Human CRISPR Library v.1.1
701,0.2128,0.1853,1358,17986,50,30971826,A2780cis,cell proliferation,Human CRISPR Library v.1.1
702,0.2314,0.1977,1368,17986,50,30971826,A-375,cell proliferation,Human CRISPR Library v.1.1
703,0.1797,0.1599,1179,17986,50,30971826,A-549,cell proliferation,Human CRISPR Library v.1.1
704,0.1871,0.1578,1787,17986,50,30971826,AGS,cell proliferation,Human CRISPR Library v.1.1
705,0.2599,0.2097,1551,17986,50,30971826,AM-38,cell proliferation,Human CRISPR Library v.1.1
706,0.2227,0.1763,1630,17986,50,30971826,ARH-77,cell proliferation,Human CRISPR Library v.1.1
707,0.2832,0.2537,1248,17986,50,30971826,AsPC-1,cell proliferation,Human CRISPR Library v.1.1
708,0.2836,0.2387,1164,17986,50,30971826,AU565,cell proliferation,Human CRISPR Library v.1.1
709,0.1832,0.1396,1481,17986,50,30971826,BB30-HNC,cell proliferation,Human CRISPR Library v.1.1
71,0.3364,0.3022,1931,18619,50,28162770,NB4,cell proliferation,Focused Ras Synthetic Lethal Human CRISPR Knockout Library
710,0.206,0.1674,1550,17986,50,30971826,SK-N-BE(2)-M17,cell proliferation,Human CRISPR Library v.1.1
711,0.2428,0.1973,1614,17986,50,30971826,Becker,cell proliferation,Human CRISPR Library v.1.1
712,0.2077,0.1745,1474,17986,50,30971826,BHY,cell proliferation,Human CRISPR Library v.1.1
713,0.1702,0.148,1654,17986,50,30971826,BICR 10,cell proliferation,Human CRISPR Library v.1.1
714,0.1426,0.1156,1204,17986,50,30971826,BICR 22,cell proliferation,Human CRISPR Library v.1.1
715,0.139,0.1047,986,17986,50,30971826,BICR 78,cell proliferation,Human CRISPR Library v.1.1
716,0.1668,0.1386,1112,17986,50,30971826,BxPC-3,cell proliferation,Human CRISPR Library v.1.1
717,0.239,0.2001,1323,17986,50,30971826,C2BBe1,cell proliferation,Human CRISPR Library v.1.1
718,0.1591,0.1293,1778,17986,50,30971826,Ca9-22,cell proliferation,Human CRISPR Library v.1.1
719,0.2485,0.2006,1874,17986,50,30971826,CAL-27,cell proliferation,Human CRISPR Library v.1.1
72,0.3274,0.2926,2454,18619,50,28162770,NB4,cell proliferation,Focused Ras Synthetic Lethal Human CRISPR Knockout Library
720,0.2138,0.1685,1350,17986,50,30971826,CAL-33,cell proliferation,Human CRISPR Library v.1.1
