gene_symbol,rank,average_rank,reversal_score_wilcoxon,reversal_score_cosine,reversal_effect_size,q_value,rpe1_rank,rpe1_covered,depmap_gene_effect,depmap_n_cell_lines,is_essential,tier,tier_label
AQP3,1861,2128.3333333333335,0.8767609672040274,0.0147332977703396,0.0126765334436608,0.0484320706211591,,False,0.030507553473173,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
PRR7,1862,2129.0,1.2920933931288243,0.0063557191798319,0.0152761320613988,0.5050448628656907,,False,-0.2201288389173549,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
CDC34,1863,2129.3333333333335,1.3397669420885423,0.0068050654128351,0.0142245501936752,0.486408516899205,,False,0.0396389426145098,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
PIGC,1864,2131.0,0.9668499531058472,0.0074428514010474,0.0191608661051131,0.6478440364812618,,False,-0.1332264391434911,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
OTX2,1865,2131.3333333333335,1.1636201894984084,0.0056245101020022,0.018945466587026,0.5595865504632768,,False,0.040206722280605,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
ZNF345,1866,2133.6666666666665,1.0641375976103842,0.0096937828435426,0.0140688030488861,0.6064832842880382,,False,0.1807109140282619,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
BYSL,1867,2135.0,3.449087789688609,-0.0082138595484599,0.0785560420563898,0.013165161350652389,1536.0,True,-1.3705102163826186,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
BBS2,1868,2138.3333333333335,1.2716177019819828,0.0111136498576891,0.0103289804347298,0.5140462514218033,,False,0.0267682650897229,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
RELL2,1869,2140.0,0.6080714431038526,0.0107281064139932,0.0219565449898856,0.7990945043311856,1614.0,True,0.0042615284945418,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
SHQ1,1870,2141.3333333333335,1.367324862399592,0.0077857309290571,0.0124962065091194,0.47655764718979216,1249.0,True,-0.686176394420417,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
