pathway_id	n_unique_reactions	n_reaction_slots
PWY-7377	17	17
PWY-7374	6	6
PWY-7373	7	7
PWY-7371	5	5
TCA-GLYOX-BYPASS	13	13
PWY-6583	8	8
PWY-6581	9	9
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	8	8
GLYCOGENSYNTH-PWY	4	4
CITRULBIO-PWY	8	8
PWY-6342	13	13
PWY-6344	6	6
PWYQT-4473	11	11
PWYQT-4472	12	12
PWYQT-4471	18	18
PWYQT-4477	12	12
PWYQT-4475	11	11
PWYQT-4474	11	11
PWY-5837	7	7
PWY-7228	6	6
PWY-6367	4	4
PWY-7746	10	10
PWY-6692	6	6
PWY-6690	5	5
PWY-7185	9	9
PWY-101	4	4
PWY-7187	7	7
PWY-7186	14	14
PWY-2541	44	44
PWY-6763	11	11
PWY-6760	7	7
PWY-6569	12	12
HEME-BIOSYNTHESIS-II-1	4	4
PWY-3081	11	11
PWY-6562	6	6
PWY-3502	14	14
PWY-6564	17	17
PWY-6565	8	8
PWY-5052	32	32
PWY-5055	9	9
PWY-5304	8	8
COBALSYN-PWY	9	9
FUCCAT-PWY	4	4
DTDPRHAMSYN-PWY	4	4
PWY-7560	9	9
PWY-6906	8	8
PWY-6901	17	17
PWY-5634	10	10
HEXITOLDEGSUPER-PWY	19	19
PWY-724	10	10
PWY-6836	4	4
PWY-6837	5	5
PWY-6834	4	4
PWY-7413	4	4
PWY-7411	5	5
PWY-7415	9	9
PWY-3661	8	8
PWY-5121	12	12
PWY-5129	13	13
GLYCOCAT-PWY	8	8
PWY-922	7	7
PWY-7094	6	6
ALL-CHORISMATE-PWY	50	50
PWY-7456	7	7
HEME-BIOSYNTHESIS-II	4	4
PWY-7003	16	16
PWY0-162	9	9
PWY0-166	14	14
PWY-6165	12	12
PWY-6167	10	10
PWY-6160	7	7
PWY-6163	5	5
PWY-6538	7	7
PWY-6168	9	9
PWY0-1477	5	5
DARABCATK12-PWY	4	4
PWY-7511	11	11
RHAMCAT-PWY	5	5
PWY-6595	6	6
PWY-6594	13	13
PWY-6596	8	8
PWY-6590	9	9
PWY-6598	5	5
PWY-6353	11	11
PWY-6352	8	8
PWY-6351	5	5
PWY-6350	10	10
PWY-6895	11	11
P162-PWY	10	10
PWY-7770	10	10
PCPDEG-PWY	12	12
P281-PWY	10	10
POLYISOPRENSYN-PWY	6	6
VALSYN-PWY	4	4
PWY-6572	8	8
PWY-6571	12	12
PWY-6575	6	6
PWY-5028	5	5
PWY-5022	7	7
PWY-4041	6	6
PWY3O-19	8	8
PWY-7799	14	14
PWY-7790	6	6
PWY-7791	6	6
FAO-PWY	7	7
PWY-5487	5	5
PWY-5484	11	11
PWY-6949	6	6
PWY-6787	10	10
PWY-6824	11	11
PWY-6823	6	6
PWY-7426	10	10
PWY-6829	16	16
PWY-7420	4	4
AST-PWY	5	5
PWY-5154	9	9
PWY-5156	44	44
PWY-8030	4	4
PWY-6919	12	12
PWY-6915	12	12
PWY-7277	7	7
PWY-7090	5	5
PHOSLIPSYN2-PWY	24	24
PWY-7270	12	12
HSERMETANA-PWY	4	4
PWY-2229	19	19
RIBOSYN2-PWY	9	9
PWY-7953	8	8
PWY-6174	7	7
PWY0-1479	10	10
PWY-7883	8	8
PWY-6210	4	4
PWY-6215	4	4
PWY-5920	8	8
PWY-7315	4	4
PWY-7316	4	4
PWY-7317	8	8
PWY-7312	4	4
PWY-735	19	19
PWY-3301	5	5
PEPTIDOGLYCANSYN-PWY	10	10
PWY-7229	8	8
PWY-6362	5	5
PWY-5818	13	13
PWY-7220	4	4
PWY-7221	4	4
PWY-7222	4	4
PWY-1861	9	9
PWY-7396	8	8
PWY-7761	5	5
PWY-7760	34	34
PWY-7769	26	26
PWY-7165	7	7
PWY-7196	10	10
PWY-3061	12	12
CARNMET-PWY	4	4
PWY-4321	5	5
PWY-6588	5	5
PWY-5532	10	10
PWY0-1533	4	4
PWY-7626	10	10
PWY-7097	10	10
PWY-6549	10	10
PWY-6545	9	9
PWY-7098	10	10
PWY-581	13	13
PWY-5534	7	7
PWY-5030	6	6
SER-GLYSYN-PWY	4	4
PWY-241	7	7
PWY-7546	4	4
PWY-2821	13	13
PWY-7789	5	5
PWY-6349	6	6
PWY-7783	8	8
PWY-7782	16	16
PWY-6714	7	7
DENITRIFICATION-PWY	5	5
PWY-7784	8	8
