cohort	pathway_id	size	hits	n_strata_cols
ThomasAM_2018a	PWY-6519	11	18	18
ThomasAM_2018a	PWY4LZ-257	9	7	7
ThomasAM_2018a	PWY-6305	4	34	34
ThomasAM_2018a	PWY-6285	53	8	8
ThomasAM_2018a	HEXITOLDEGSUPER-PWY	19	14	14
ThomasAM_2018a	PWY-5723	10	15	15
ThomasAM_2018a	BIOTIN-BIOSYNTHESIS-PWY	16	16	16
ThomasAM_2018a	P461-PWY	20	24	24
ThomasAM_2018a	PHOSLIPSYN-PWY	10	27	27
ThomasAM_2018a	P441-PWY	21	11	11
ThomasAM_2018a	FAO-PWY	7	22	22
ThomasAM_2018a	SALVADEHYPOX-PWY	5	21	21
ThomasAM_2018a	P161-PWY	5	31	31
ThomasAM_2018a	DTDPRHAMSYN-PWY	4	205	205
ThomasAM_2018a	GLYCOLYSIS-TCA-GLYOX-BYPASS	26	12	12
ThomasAM_2018a	PWY-6588	5	8	8
ThomasAM_2018a	PWY4FS-7	6	31	31
ThomasAM_2018a	PWY4FS-8	6	31	31
ThomasAM_2018a	TRPSYN-PWY	7	105	105
ThomasAM_2018a	FERMENTATION-PWY	17	19	19
ThomasAM_2018a	PWY-6123	6	163	163
ThomasAM_2018a	GALACTARDEG-PWY	4	17	17
ThomasAM_2018a	GLUCARGALACTSUPER-PWY	4	17	17
ThomasAM_2018a	UDPNAGSYN-PWY	5	133	133
ThomasAM_2018a	PWY0-1061	6	33	33
ThomasAM_2018a	PWY0-1297	7	48	48
ThomasAM_2018a	HISTSYN-PWY	11	156	156
ThomasAM_2018a	HOMOSER-METSYN-PWY	5	33	33
ThomasAM_2018a	PWY-4041	6	40	40
ThomasAM_2018a	PWY-6124	5	162	162
ThomasAM_2018a	RIBOSYN2-PWY	9	165	165
ThomasAM_2018a	PWY-6629	14	9	9
ThomasAM_2018a	PWY-6353	11	13	13
ThomasAM_2018a	FUCCAT-PWY	4	19	19
ThomasAM_2018a	PWY-5989	6	31	31
ThomasAM_2018a	PWY0-781	25	8	8
ThomasAM_2018a	P4-PWY	18	11	11
ThomasAM_2018a	PYRIDNUCSYN-PWY	6	66	66
ThomasAM_2018a	DENOVOPURINE2-PWY	27	16	16
ThomasAM_2018a	SULFATE-CYS-PWY	9	19	19
ThomasAM_2018a	HSERMETANA-PWY	4	74	74
ThomasAM_2018a	PWY-6901	17	12	12
ThomasAM_2018a	PWY-6284	20	9	9
ThomasAM_2018a	THISYN-PWY	12	18	18
ThomasAM_2018a	GLCMANNANAUT-PWY	5	40	40
ThomasAM_2018a	PWY-841	21	17	17
ThomasAM_2018a	PWY-6703	4	128	128
ThomasAM_2018a	GLYCOLYSIS-E-D	16	14	14
ThomasAM_2018a	TCA-GLYOX-BYPASS	13	14	14
ThomasAM_2018a	PWY-1269	5	48	48
ThomasAM_2018a	PWY-5838	10	11	11
ThomasAM_2018a	PWY-6151	4	190	190
ThomasAM_2018a	PWY-7357	6	91	91
ThomasAM_2018a	PRPP-PWY	49	5	5
ThomasAM_2018a	PWY-5897	10	14	14
ThomasAM_2018a	PWY-5898	10	14	14
ThomasAM_2018a	PWY-5899	10	14	14
ThomasAM_2018a	PWY-6628	10	11	11
ThomasAM_2018a	PWY0-1479	10	21	21
ThomasAM_2018a	PWY-6969	10	5	5
ThomasAM_2018a	COBALSYN-PWY	9	38	38
ThomasAM_2018a	PWY0-845	11	29	29
ThomasAM_2018a	PWY-6892	8	51	51
ThomasAM_2018a	ARG+POLYAMINE-SYN	17	8	8
ThomasAM_2018a	PWY-6895	11	9	9
ThomasAM_2018a	PWY-7187	7	16	16
ThomasAM_2018a	PWY-5136	5	17	17
ThomasAM_2018a	RHAMCAT-PWY	5	55	55
ThomasAM_2018a	PWY-6897	5	43	43
ThomasAM_2018a	PWY0-1298	6	30	30
ThomasAM_2018a	COLANSYN-PWY	12	7	7
ThomasAM_2018a	PWY-5913	9	24	24
ThomasAM_2018a	PWY0-166	14	38	38
ThomasAM_2018a	PWY-6527	7	67	67
ThomasAM_2018a	PWY-5840	10	7	7
ThomasAM_2018a	PWY-5845	10	6	6
ThomasAM_2018a	PWY-5850	10	6	6
ThomasAM_2018a	PWY-5896	10	6	6
ThomasAM_2018a	P105-PWY	10	5	5
ThomasAM_2018a	SO4ASSIM-PWY	4	21	21
ThomasAM_2018a	PWY0-162	9	22	22
ThomasAM_2018a	ORNDEG-PWY	9	14	14
ThomasAM_2018a	PWY66-409	17	14	14
ThomasAM_2018a	FUC-RHAMCAT-PWY	12	10	10
ThomasAM_2018a	NAGLIPASYN-PWY	6	28	28
ThomasAM_2018a	PWY-561	15	4	4
ThomasAM_2018a	PWY-5690	10	5	5
ThomasAM_2018a	PWY-6125	8	79	79
ThomasAM_2018a	GLUCOSE1PMETAB-PWY	5	21	21
ThomasAM_2018a	GALACT-GLUCUROCAT-PWY	11	6	6
ThomasAM_2018a	PWY-6891	7	17	17
ThomasAM_2018a	PWY-6471	16	11	11
ThomasAM_2018a	PYRIDNUCSAL-PWY	7	6	6
ThomasAM_2018a	PWY-7234	6	61	61
ThomasAM_2018a	PWY-6168	9	85	85
ThomasAM_2018a	PENTOSE-P-PWY	8	38	38
ThomasAM_2018a	PYRIDOXSYN-PWY	7	40	40
